year,borough,zip,incident_address,lat,long,num_complaints,BLOCK,tract
2020.0,BRONX,10451.0,1020 GRAND CONCOURSE,40.83031416456497,-73.92078450573074,1.0,3003,18301
2020.0,BRONX,10451.0,109 EAST  153 STREET,40.823931962072784,-73.92803289633304,108.0,3000,6301
2020.0,BRONX,10451.0,175 EAST  151 STREET,40.82088212019183,-73.92729914174672,2.0,4004,6301
2020.0,BRONX,10451.0,180 EAST  162 STREET,40.82744913168516,-73.92144193496979,2.0,1003,18301
2020.0,BRONX,10451.0,180 EAST  163 STREET,40.82827207596835,-73.92075441623977,2.0,1000,18301
2020.0,BRONX,10451.0,181 EAST  161 STREET,40.82654898849695,-73.92162366330943,4.0,1004,18301
2020.0,BRONX,10451.0,185 EAST  159 STREET,40.82573405095236,-73.92198233673835,4.0,1000,5902
2020.0,BRONX,10451.0,185 EAST  162 STREET,40.82738858281267,-73.92119991147452,8.0,1000,18301
2020.0,BRONX,10451.0,185 EAST  163 STREET,40.82828579456792,-73.92074717308786,1.0,2001,18301
2020.0,BRONX,10451.0,185 WALTON AVENUE,40.81389045349915,-73.93034499677091,1.0,5014,6301
2020.0,BRONX,10451.0,190 EAST  135 STREET,40.81118233589734,-73.93189035900133,10.0,1014,5100
2020.0,BRONX,10451.0,2 EAST  161 STREET,40.82902096336187,-73.92851159386139,1.0,1005,6302
2020.0,BRONX,10451.0,214 EAST  163 STREET,40.82788148852184,-73.91954439753127,4.0,1001,18302
2020.0,BRONX,10451.0,224 EAST  163 STREET,40.82773569764198,-73.91908567495473,1.0,2002,18302
2020.0,BRONX,10451.0,225 EAST  149 STREET,40.81778962689832,-73.92428580158358,8.0,2002,6500
2020.0,BRONX,10451.0,225 EAST  163 STREET,40.82776041527216,-73.91910732516608,41.0,2001,18302
2020.0,BRONX,10451.0,235 EAST  149 STREET,40.817720835461536,-73.92402214304747,29.0,2002,6500
2020.0,BRONX,10451.0,239 EAST  140 STREET,40.813385969628406,-73.92679434149274,1.0,2005,5100
2020.0,BRONX,10451.0,2439 3 AVENUE,40.80895250126895,-73.9300214400526,6.0,1014,5100
2020.0,BRONX,10451.0,245 EAST  149 STREET,40.8176547857502,-73.92375486908537,21.0,2002,6500
2020.0,BRONX,10451.0,250 EAST  144 STREET,40.81568210590894,-73.92493487656203,2.0,2001,5100
2020.0,BRONX,10451.0,253 EAST  142 STREET,40.81481491086839,-73.9251453898462,2.0,2001,5100
2020.0,BRONX,10451.0,255 EAST  149 STREET,40.81758599309778,-73.92349121163232,11.0,2002,6500
2020.0,BRONX,10451.0,270 EAST  162 STREET,40.82638696326069,-73.91756250090833,1.0,3002,17300
2020.0,BRONX,10451.0,271 EAST  150 STREET,40.817889529821485,-73.92181089108354,4.0,3000,6500
2020.0,BRONX,10451.0,280 EAST  161 STREET,40.82537436485863,-73.91784558881021,30.0,4001,17300
2020.0,BRONX,10451.0,280 EAST  162 STREET,40.82630993536117,-73.91731689197321,13.0,3002,17300
2020.0,BRONX,10451.0,287 EAST  162 STREET,40.82626313256164,-73.91711821879733,3.0,3001,17300
2020.0,BRONX,10451.0,290 EAST  150 STREET,40.817776745904055,-73.92144251432012,2.0,4005,6500
2020.0,BRONX,10451.0,290 EAST  163 STREET,40.82702321798473,-73.91683904498647,1.0,3001,17300
2020.0,BRONX,10451.0,291 EAST  162 STREET,40.82623012063413,-73.91701347435637,6.0,3001,17300
2020.0,BRONX,10451.0,294 EAST  162 STREET,40.82620264748592,-73.91697737568293,4.0,3002,17300
2020.0,BRONX,10451.0,295 EAST  149 STREET,40.81704938082852,-73.92142169614931,3.0,4005,6500
2020.0,BRONX,10451.0,295 EAST  162 STREET,40.82619710600771,-73.9169051167292,7.0,3001,17300
2020.0,BRONX,10451.0,298 EAST  150 STREET,40.81772170365245,-73.92122580931164,1.0,4005,6500
2020.0,BRONX,10451.0,298 EAST  163 STREET,40.82695994347361,-73.91663677731664,4.0,3001,17300
2020.0,BRONX,10451.0,2980 PARK AVENUE,40.82072518171122,-73.92233866971165,1.0,2000,6500
2020.0,BRONX,10451.0,299 EAST  158 STREET,40.82316469920969,-73.91760985037008,17.0,2001,6900
2020.0,BRONX,10451.0,300 EAST  151 STREET,40.81841297368418,-73.92064331887765,1.0,3000,6500
2020.0,BRONX,10451.0,300 EAST  159 STREET,40.82381502350848,-73.91736696317817,13.0,2001,6900
2020.0,BRONX,10451.0,300 EAST  162 STREET,40.8261558832019,-73.91683290238468,1.0,3002,17300
2020.0,BRONX,10451.0,3000 PARK AVENUE,40.82094456156336,-73.92204576003935,2.0,2000,6500
2020.0,BRONX,10451.0,303 EAST  158 STREET,40.82307116422554,-73.9173100769179,2.0,2001,6900
2020.0,BRONX,10451.0,304 EAST  162 STREET,40.82612287623282,-73.91673538482631,5.0,3002,17300
2020.0,BRONX,10451.0,3055 3 AVENUE,40.82043022244684,-73.91287300570671,1.0,1005,6900
2020.0,BRONX,10451.0,308 EAST  151 STREET,40.81836343682198,-73.92045189594913,6.0,3000,6500
2020.0,BRONX,10451.0,3097 3 AVENUE,40.821362960250845,-73.91225756919712,3.0,1006,6900
2020.0,BRONX,10451.0,310 EAST  151 STREET,40.818349680821385,-73.92040494511902,1.0,3000,6500
2020.0,BRONX,10451.0,3103 3 AVENUE,40.821604376937,-73.91210188997758,7.0,1000,6900
2020.0,BRONX,10451.0,311 EAST  162 STREET,40.82605955967111,-73.91647530746934,3.0,3001,17300
2020.0,BRONX,10451.0,315 EAST  148 STREET,40.81630013666441,-73.92151651246164,12.0,1001,6500
2020.0,BRONX,10451.0,316 EAST  162 STREET,40.82603208897187,-73.9164428223918,14.0,3002,17300
2020.0,BRONX,10451.0,317 EAST  150 STREET,40.81757304275916,-73.92057567678259,1.0,3000,6500
2020.0,BRONX,10451.0,318 EAST  151 STREET,40.81830288578061,-73.92020990639764,1.0,3000,6500
2020.0,BRONX,10451.0,318 EAST  160 STREET,40.824225954157136,-73.91628972334311,16.0,2000,6900
2020.0,BRONX,10451.0,320 EAST  159 STREET,40.823693973150526,-73.91697327933535,1.0,2001,6900
2020.0,BRONX,10451.0,320 EAST  160 STREET,40.82421494643854,-73.91624999214717,5.0,2000,6900
2020.0,BRONX,10451.0,3203 PARK AVENUE,40.82503035981417,-73.9165705433315,4.0,3002,17300
